,title,location,company,salary,summary
0,newApprentice Data and Analytics Developer,Chester,Sykes Cottages,,"Creating unique dashboards, line graphs and charts.Analysing data and providing insights.Presenting data for review and analysis."
1,new005 10 BI – Technology Developer Radbroke,Knutsford WA16 9EU,Barclays,,"As a Developer, you’ll be the brains behind the design, installation, testing and maintenance of existing and new systems.Analyse code to improve processes."
2,Developer Analyst - Explorer Graduate Programme - 2022,Knutsford WA16 9EU,Barclays,,"As a Developer, you’ll be the brains behind the design, installation, testing and maintenance of existing and new systems.Analyze code to improve processes."
3,newSoftware Developer,Liverpool L12,Liverpool FC,,"You should have the capability to design solutions to problems that are robust and scalable.Creating and maintaining necessary Product, design and…"
4,Graduate Software Developer,Nantwich,Close Brothers Group,,"To assist the Senior Software Developers and Software Developers in the gathering of business requirements, internal designs and system requirements."
5,BI Developer,Chester,Searchability,,Competitive salary up to 35k DOE with amazing benifits.SQL Server / SQL / SSIS/ SSAS / SSRS / PowerBI / Python.Knowledge of Data protection (DPA and GDPR).
6,Software Developer,Daresbury,Perceptive Engineering,,"We design, develop, and commission real-time monitoring, advanced multi-variable control, fault detection and diagnostic systems to optimize process performance…"
7,Automation Developer,Wrexham LL13 9XT,DTCC,,The Business Automation team is responsible for designing and developing automation solutions to enable DTCC’s modernized business architecture.
8,Software Developer,Liverpool•Remote,The National Oceanography Centre,,"Full time (37 hours per week).The British Oceanographic Data Centre (BODC), part of the National Oceanography Centre, provides a data management service for UK…"
9,Cloud Automation Engineer,Chester,Bank of America,,Support and maintain the underlying infrastructure of the firm’s.Applications. From initial version certification thru net new builds to.
10,Senior Python Software Developer - REMOTE,Liverpool•Remote,Apollo Solutions,,"The ideal candidate will have good communicational skills, able to write clean and testable code and interpret non-technical requirements into technical…"
11,Senior Developer,Knutsford WA16 9EU,Barclays,,"People management skills and delivery within a highly distributed team with an ability to review design patterns and advise developers on best practices (TDD,…"
12,SENIOR SOFTWARE DEVELOPER,Knutsford,Geometric Results International,,"Solving complex problems with simple, permanent solutions, powered by our people and supported by our flagship SaaS product, e-tips®."
13,CONTRACT SOFTWARE DEVELOPER IN TEST (SDET) (SC CLEARED),Cheshire•Remote,Searchability,,"£425 - £500 per day (outside IR35).6 month rolling contract (strong likelihood of extension), fully remote for the initial 6 months."
14,Web Hosting Engineer Analyst,Crewe,Assurant,,"Reporting to the senior engineer you will be support the provision, installation/configuration, operation and maintenance of systems hardware, software, and…"
15,new005 10 BI – Technology Developer Radbroke,Knutsford WA16 9EU,Barclays,,"As a Developer, you’ll be the brains behind the design, installation, testing and maintenance of existing and new systems.Analyse code to improve processes."
16,newApprentice Data and Analytics Developer,Chester,Sykes Cottages,,"Creating unique dashboards, line graphs and charts.Analysing data and providing insights.Presenting data for review and analysis."
17,Developer Analyst - Explorer Graduate Programme - 2022,Knutsford WA16 9EU,Barclays,,"As a Developer, you’ll be the brains behind the design, installation, testing and maintenance of existing and new systems.Analyze code to improve processes."
18,Software Developer,Liverpool•Remote,The National Oceanography Centre,,"Full time (37 hours per week).The British Oceanographic Data Centre (BODC), part of the National Oceanography Centre, provides a data management service for UK…"
19,Senior Developer,Knutsford WA16 9EU,Barclays,,"People management skills and delivery within a highly distributed team with an ability to review design patterns and advise developers on best practices (TDD,…"
20,Senior Python Software Developer - REMOTE,Liverpool•Remote,Apollo Solutions,,"The ideal candidate will have good communicational skills, able to write clean and testable code and interpret non-technical requirements into technical…"
21,newSoftware Developer,Liverpool L12,Liverpool FC,,"You should have the capability to design solutions to problems that are robust and scalable.Creating and maintaining necessary Product, design and…"
22,Software Developer,Daresbury,Perceptive Engineering,,"We design, develop, and commission real-time monitoring, advanced multi-variable control, fault detection and diagnostic systems to optimize process performance…"
23,CONTRACT SOFTWARE DEVELOPER IN TEST (SDET) (SC CLEARED),Cheshire•Remote,Searchability,,"£425 - £500 per day (outside IR35).6 month rolling contract (strong likelihood of extension), fully remote for the initial 6 months."
24,Graduate Software Developer,Nantwich,Close Brothers Group,,"To assist the Senior Software Developers and Software Developers in the gathering of business requirements, internal designs and system requirements."
25,BI Developer,Chester,Searchability,,Competitive salary up to 35k DOE with amazing benifits.SQL Server / SQL / SSIS/ SSAS / SSRS / PowerBI / Python.Knowledge of Data protection (DPA and GDPR).
26,Web Application Firewall Engineer,Knutsford WA16 9EU,Barclays,,"Basic/Intermediate level of scripting/coding ability e.g. python, powershell, etc.As a Barclays Web Application Firewall Engineer, you will have the…"
27,Fully Remote Full Stack Developer,Liverpool•Remote,Searchability,,"Salary up to £50k.Work across all stages in the product life cycle: design, implementation, testing, deployment and maintenance."
28,Automation Developer,Wrexham LL13 9XT,DTCC,,The Business Automation team is responsible for designing and developing automation solutions to enable DTCC’s modernized business architecture.
29,SENIOR SOFTWARE DEVELOPER,Knutsford,Geometric Results International,,"Solving complex problems with simple, permanent solutions, powered by our people and supported by our flagship SaaS product, e-tips®."
30,newApprentice Data and Analytics Developer,Chester,Sykes Cottages,,"Creating unique dashboards, line graphs and charts.Analysing data and providing insights.Presenting data for review and analysis."
31,new005 10 BI – Technology Developer Radbroke,Knutsford WA16 9EU,Barclays,,"As a Developer, you’ll be the brains behind the design, installation, testing and maintenance of existing and new systems.Analyse code to improve processes."
32,Developer Analyst - Explorer Graduate Programme - 2022,Knutsford WA16 9EU,Barclays,,"As a Developer, you’ll be the brains behind the design, installation, testing and maintenance of existing and new systems.Analyze code to improve processes."
33,newSoftware Developer,Liverpool L12,Liverpool FC,,"You should have the capability to design solutions to problems that are robust and scalable.Creating and maintaining necessary Product, design and…"
34,Graduate Software Developer,Nantwich,Close Brothers Group,,"To assist the Senior Software Developers and Software Developers in the gathering of business requirements, internal designs and system requirements."
35,BI Developer,Chester,Searchability,,Competitive salary up to 35k DOE with amazing benifits.SQL Server / SQL / SSIS/ SSAS / SSRS / PowerBI / Python.Knowledge of Data protection (DPA and GDPR).
36,Software Developer,Daresbury,Perceptive Engineering,,"We design, develop, and commission real-time monitoring, advanced multi-variable control, fault detection and diagnostic systems to optimize process performance…"
37,Automation Developer,Wrexham LL13 9XT,DTCC,,The Business Automation team is responsible for designing and developing automation solutions to enable DTCC’s modernized business architecture.
38,Software Developer,Liverpool•Remote,The National Oceanography Centre,,"Full time (37 hours per week).The British Oceanographic Data Centre (BODC), part of the National Oceanography Centre, provides a data management service for UK…"
39,Cloud Automation Engineer,Chester,Bank of America,,Support and maintain the underlying infrastructure of the firm’s.Applications. From initial version certification thru net new builds to.
40,Senior Python Software Developer - REMOTE,Liverpool•Remote,Apollo Solutions,,"The ideal candidate will have good communicational skills, able to write clean and testable code and interpret non-technical requirements into technical…"
41,Senior Developer,Knutsford WA16 9EU,Barclays,,"People management skills and delivery within a highly distributed team with an ability to review design patterns and advise developers on best practices (TDD,…"
42,SENIOR SOFTWARE DEVELOPER,Knutsford,Geometric Results International,,"Solving complex problems with simple, permanent solutions, powered by our people and supported by our flagship SaaS product, e-tips®."
43,CONTRACT SOFTWARE DEVELOPER IN TEST (SDET) (SC CLEARED),Cheshire•Remote,Searchability,,"£425 - £500 per day (outside IR35).6 month rolling contract (strong likelihood of extension), fully remote for the initial 6 months."
44,Web Hosting Engineer Analyst,Crewe,Assurant,,"Reporting to the senior engineer you will be support the provision, installation/configuration, operation and maintenance of systems hardware, software, and…"
45,new005 10 BI – Technology Developer Radbroke,Knutsford WA16 9EU,Barclays,,Want to define The Next Reality?Stand on the shoulders of the giants who’ve achieved some of the world’s biggest technological breakthroughs as a Developer…
46,newApprentice Data and Analytics Developer,Chester,Sykes Cottages,,"At Sykes Holiday Cottages, we are experiencing a significant increase in bookings due to a huge surge in demand for UK holidays.Proactive and willing to learn."
47,Developer Analyst - Explorer Graduate Programme - 2022,Knutsford WA16 9EU,Barclays,,Want to redefine the future of finance?Stand on the shoulders of the giants who’ve achieved some of the world’s biggest technological breakthroughs as a Full…
48,Software Developer,Liverpool•Remote,The National Oceanography Centre,,"You will work in our team of developers who work to create solutions for our data needs.Full time (37 hours per week).Writing automated tests (tox, pytest)."
49,Senior Developer,Knutsford WA16 9EU,Barclays,,"People management skills and delivery within a highly distributed team with an ability to review design patterns and advise developers on best practices (TDD,…"
50,Senior Python Software Developer - REMOTE,Liverpool•Remote,Apollo Solutions,,A Financial Services firm based in London is looking for a Senior Python Software Developer to join their team on a 12-month+ contract.This is a remote role!
51,newSoftware Developer,Liverpool L12,Liverpool FC,,We are looking for an experienced multi skilled developer who is comfortable learning new skills at pace and happy working across a wide range of technologies…
52,Software Developer,Daresbury,Perceptive Engineering,,This role is to join the Perceptive Engineering business Unit within the Applied Materials APG Pharma division.Supporting the existing code base.
53,CONTRACT SOFTWARE DEVELOPER IN TEST (SDET) (SC CLEARED),Cheshire•Remote,Searchability,,"You will working within a small agile team, working closely with developers whilst testing against a bespoke Java application.WHAT WILL YOU BE DOING?"
54,Graduate Software Developer,Nantwich,Close Brothers Group,,"A fantastic opportunity has arisen for multiple Computer Science or Information Technology graduates, looking to build a career in the financial services sector…"
55,BI Developer,Chester,Searchability,,AMAZING NEW BI DEVELOPER OPPORTUNITY IN CHESTER CITY CENTER.Competitive salary up to 35k DOE with amazing benifits.WHAT WILL YOU BE DOING?IT’S NICE TO HAVE….
56,Web Application Firewall Engineer,Knutsford WA16 9EU,Barclays,,"Basic/Intermediate level of scripting/coding ability e.g. python, powershell, etc.As a Barclays Web Application Firewall Engineer, you will have the…"
57,Fully Remote Full Stack Developer,Liverpool•Remote,Searchability,,"We have a mix of designers and developers who you’ll work alongside daily, you will become a key member of the team working on leading healthcare provider…"
58,Automation Developer,Wrexham LL13 9XT,DTCC,,"The team is comprised of business analysts, developers and infrastructure specialist covering a wide range of automation tools, such as desktop automation…"
59,SENIOR SOFTWARE DEVELOPER,Knutsford,Geometric Results International,,Knutsford (Head office) | Full Time.We are looking for a Senior Software Developer who will play a key role in our engineering team to help us deliver…
